Year,Month,Day
2017,05,21
2017,05,22
2017,05,23
2017,06,21
2017,06,22
2017,06,23
2017,06,24
2017,06,25
2017,07,03
2017,07,04
2017,07,05
2017,07,06
2017,07,07
2017,07,14
2017,07,15
2017,07,16
2017,07,20
2017,07,21
2017,07,22
2017,07,25
2017,07,26
2017,07,27
2017,08,02
2017,08,03
2017,08,04
2017,08,08
2017,08,09
2017,08,10
2017,08,11
2017,08,12
2017,08,13
2017,08,21
2017,08,22
2017,08,23
2017,08,24
2018,05,16
2018,05,17
2018,05,18
2018,07,07
2018,07,08
2018,07,09
2018,07,10
2018,07,11
2018,07,12
2018,07,15
2018,07,16
2018,07,17
2018,07,18
2018,07,19
2018,07,20
2018,07,23
2018,07,24
2018,07,25
2018,07,26
2018,08,07
2018,08,08
2018,08,09
2018,08,10
2018,08,11
2018,08,12
2018,08,13
2018,08,14
2019,05,16
2019,05,17
2019,05,18
2019,05,25
2019,05,26
2019,05,27
2019,07,22
2019,07,23
2019,07,24
2019,07,28
2019,07,29
2019,07,30
2019,08,04
2019,08,05
2019,08,06
2019,08,08
2019,08,09
2019,08,10
2019,09,09
2019,09,10
2019,09,11
2019,09,12
2019,09,13
2019,09,14
